City,Country,Lat,Lng,Temperature (°F),Humidity,Wind Speed,Cloudiness
Lorengau,PG,-2.02,147.27,82.58,100,11.92,88
Punta Arenas,CL,-53.16,-70.91,48.2,57,8.05,75
Albany,AU,-35.02,117.88,66.02,89,6.62,92
Port Lincoln,AU,-34.72,135.86,77.41,67,13.11,0
Teya,RU,60.37,92.63,1.45,68,3.2,20
Wilmington,US,39.75,-75.55,39.2,55,10.29,40
Hamilton,BM,32.3,-64.78,64.4,77,10.29,75
Te Anau,NZ,-45.41,167.72,50.14,84,4.76,36
Santa Cruz,CR,10.26,-85.58,86.0,55,24.16,0
Antofagasta,CL,-23.65,-70.4,68.0,72,11.41,20
Darnah,LY,32.77,22.64,60.8,100,10.87,8
Dikson,RU,73.51,80.55,-8.91,100,12.1,24
Narsaq,GL,60.91,-46.05,10.4,60,5.82,0
Dong Xoai,VN,11.53,106.92,73.36,75,6.62,32
Kapaa,US,22.08,-159.32,71.6,64,24.16,90
Rawson,AR,-43.3,-65.11,81.86,31,9.57,76
Torbay,CA,47.66,-52.73,28.4,92,9.17,90
Pangoa,PE,-12.12,-73.0,69.98,95,1.81,0
Juneau,US,58.3,-134.42,33.8,100,2.48,90
Carnarvon,AU,-24.87,113.63,80.87,74,15.79,0
Kuala Terengganu,MY,5.33,103.14,75.2,94,2.24,75
High Prairie,CA,55.43,-116.48,30.11,60,6.78,44
Saint-Philippe,RE,-21.36,55.77,73.4,73,8.05,0
Tezu,IN,27.93,96.16,53.42,60,1.97,56
Viljoenskroon,ZA,-27.21,26.95,52.39,90,1.81,20
Luancheng,CN,37.88,114.65,24.8,73,2.24,0
Yar-Sale,RU,66.83,70.83,-10.89,73,3.6,24
Ancud,CL,-41.87,-73.83,56.48,92,9.24,92
Kidal,ML,18.44,1.41,64.58,37,5.28,0
Norman Wells,CA,65.28,-126.83,8.6,65,11.41,5
Cabo San Lucas,MX,22.89,-109.91,77.0,29,4.32,40
Mercedes,UY,-33.25,-58.03,73.09,48,4.76,68
Gibara,CU,21.11,-76.13,78.8,61,3.36,75
Madinat Sittah Uktubar,EG,29.82,31.05,66.2,55,6.93,0
Port Pirie,AU,-33.18,138.01,80.6,36,9.17,24
Bluff,NZ,-46.6,168.33,54.41,100,15.61,80
Beloha,MG,-25.17,45.06,67.37,95,6.73,0
Boddam,GB,57.47,-1.78,35.6,93,3.36,0
Stornoway,GB,58.21,-6.39,37.4,86,5.82,68
Zhigansk,RU,66.77,123.37,-16.92,50,6.4,56
Oleksandrivka,UA,48.74,37.49,24.62,96,5.61,56
Chokurdakh,RU,70.62,147.9,-30.1,51,2.37,8
Saldanha,ZA,-33.01,17.94,59.0,77,6.93,8
Thompson,CA,55.74,-97.86,19.4,57,6.93,75
Jamestown,SH,-15.94,-5.72,74.93,100,13.11,76
Yellowknife,CA,62.45,-114.38,8.6,78,3.36,75
Berlevag,NO,70.86,29.09,-0.27,100,3.76,8
Santo Antonio do Leverger,BR,-15.87,-56.08,84.2,66,5.82,0
Palana,RU,59.08,159.95,12.92,71,7.63,64
Hermanus,ZA,-34.42,19.24,55.58,100,2.53,64
Evensk,RU,61.92,159.24,2.48,100,3.27,44
Olinda,BR,-22.82,-43.41,75.2,100,4.7,90
Bintulu,MY,3.17,113.03,75.2,100,2.98,75
Zhengjiatun,CN,43.51,123.51,-3.69,64,4.27,24
San Cristobal,EC,-1.02,-79.44,63.73,100,2.19,80
Mantua,CU,22.29,-84.28,72.23,69,7.23,8
Bredasdorp,ZA,-34.53,20.04,62.6,67,2.24,12
Wittlich,DE,49.98,6.89,35.6,100,4.99,90
Jega,NG,12.22,4.38,78.04,49,5.84,0
Znamenskoye,RU,57.13,73.82,6.8,79,9.24,68
Vaini,TO,-21.2,-175.2,87.8,74,4.7,40
Lebu,CL,-37.62,-73.65,58.37,100,13.82,32
Tuktoyaktuk,CA,69.44,-133.03,12.2,78,10.29,75
Port Alfred,ZA,-33.59,26.89,66.65,89,18.63,12
Cape Town,ZA,-33.93,18.42,60.8,72,6.93,20
Jacmel,HT,18.24,-72.54,82.4,65,6.93,40
Hilo,US,19.71,-155.08,77.0,53,10.29,40
La Rioja,AR,-29.41,-66.86,78.76,50,2.3,0
Hobart,AU,-42.88,147.33,66.2,63,8.05,75
Caravelas,BR,-17.73,-39.27,81.77,100,17.4,32
Marsh Harbour,BS,26.54,-77.06,67.96,100,21.94,8
Saskylakh,RU,71.97,114.09,-26.1,40,11.92,8
Esperance,AU,-33.86,121.89,74.35,46,12.59,0
Auki,SB,-8.77,160.7,81.77,100,2.82,68
Alto Araguaia,BR,-17.32,-53.22,77.05,78,4.72,32
Busselton,AU,-33.64,115.35,66.83,100,13.56,80
Arraial do Cabo,BR,-22.97,-42.02,73.31,100,3.49,100
Seymchan,RU,62.93,152.39,-9.54,67,3.49,20
Havre-Saint-Pierre,CA,50.23,-63.6,28.4,74,16.11,90
Veshkayma,RU,54.05,47.12,5.36,83,8.75,36
Palmer,US,61.6,-149.11,26.6,79,3.36,90
Touros,BR,-5.2,-35.46,79.75,88,7.56,80
Olga,RU,43.74,135.29,15.85,51,11.54,0
Coihaique,CL,-45.58,-72.07,53.6,93,6.93,90
Castro,CL,-42.48,-73.76,53.87,95,9.8,92
Bathsheba,BB,13.22,-59.52,78.8,83,18.34,75
Tomatlan,MX,19.93,-105.25,80.96,54,3.71,0
Kolosovka,RU,56.47,73.61,7.07,78,10.76,48
Upernavik,GL,72.79,-56.15,-9.54,100,8.79,56
La Palma,PA,8.4,-78.14,85.24,67,7.85,36
Puerto Ayora,EC,-0.74,-90.35,80.6,74,12.75,0
Bambous Virieux,MU,-20.34,57.76,75.2,83,2.24,20
Sagna,RO,46.97,27.01,37.4,93,4.7,76
Mar del Plata,AR,-46.43,-67.52,59.68,82,15.95,0
Waterloo,US,42.5,-92.34,26.6,68,5.82,1
Stockach,DE,47.86,9.01,50.0,69,1.12,56
Anadyr,RU,64.73,177.51,-5.81,83,24.61,90
Bako,ET,5.83,36.63,57.02,76,1.74,0
Huambo,AO,-12.78,15.73,51.49,69,2.71,0
Flinders,AU,-34.58,150.85,71.6,60,6.93,75
Morondava,MG,-20.3,44.28,75.47,100,3.09,0
Hambantota,LK,6.12,81.12,79.07,100,7.11,88
Komsomolskiy,RU,67.55,63.78,2.08,86,3.27,56
Nikolskoye,RU,59.7,30.79,23.0,67,8.95,0
Plouzane,FR,48.38,-4.62,48.2,93,6.93,90
Batsfjord,NO,70.63,29.72,6.8,92,9.17,75
Excelsior Springs,US,39.34,-94.23,46.4,31,3.36,1
Ketchikan,US,55.34,-131.65,37.4,74,3.36,75
Denpasar,ID,-8.65,115.22,74.8,100,1.25,88
Souillac,MU,-20.52,57.52,75.2,83,2.24,20
La Ronge,CA,55.1,-105.3,17.6,61,4.7,20
Okakarara,NA,-20.59,17.46,66.79,72,6.51,64
Turukhansk,RU,65.8,87.96,-3.06,50,8.34,8
Yulara,AU,-25.24,130.99,71.6,83,13.87,90
East London,ZA,-33.02,27.91,67.73,100,24.96,8
Roma,AU,-26.57,148.79,70.75,74,14.34,32
Roald,NO,62.58,6.12,35.6,100,4.7,88
Hurricane,US,37.18,-113.29,66.2,10,3.36,1
Hithadhoo,MV,-0.6,73.08,83.48,100,9.8,32
Popondetta,PG,-8.77,148.24,77.81,80,1.81,64
Blytheville,US,35.93,-89.92,46.4,45,4.38,1
Lagoa,PT,37.14,-8.45,59.0,100,6.93,40
Hwange,ZW,-18.35,26.5,66.83,89,2.98,0
Lompoc,US,34.64,-120.46,69.8,55,13.87,40
Clearwater,US,27.97,-82.8,57.2,54,6.93,1
Sidney,US,41.14,-102.98,60.8,18,9.17,1
New Norfolk,AU,-42.78,147.06,66.2,63,8.05,75
Coquimbo,CL,-29.95,-71.34,64.4,68,8.05,0
Srednekolymsk,RU,67.46,153.71,-17.28,51,3.31,32
Mahebourg,MU,-20.41,57.7,75.2,83,2.24,20
Sola,VU,-13.88,167.55,81.64,100,15.9,88
Vanimo,PG,-2.67,141.3,77.59,100,4.88,92
Longyearbyen,SJ,78.22,15.64,1.4,59,14.99,20
West Wendover,US,40.74,-114.07,40.6,80,2.71,48
Aqtobe,KZ,50.28,57.21,19.4,92,6.71,90
Clyde River,CA,70.47,-68.59,-31.01,73,2.24,20
Katobu,ID,-4.94,122.53,82.67,95,7.52,80
Dingle,IE,52.14,-10.27,42.17,100,4.09,24
Severo-Yeniseyskiy,RU,60.37,93.04,0.32,72,3.27,20
Sorong,ID,-0.86,131.25,77.68,100,8.23,92
Ribeira Grande,PT,38.52,-28.7,60.8,87,16.11,75
Beringovskiy,RU,63.05,179.32,6.76,94,31.68,44
Sarkand,KZ,45.41,79.91,22.37,77,2.48,0
Port Blair,IN,11.67,92.75,82.81,100,7.56,0
Constitucion,MX,23.99,-104.67,82.4,10,3.36,75
Aykhal,RU,65.95,111.51,-9.36,64,6.29,68
Sambava,MG,-14.27,50.17,79.97,100,4.05,12
Nushki,PK,29.55,66.02,46.4,49,6.22,0
Karpogory,RU,64.0,44.44,11.8,82,4.88,48
Ponta do Sol,CV,17.2,-25.09,70.61,100,11.77,0
Maku,IR,39.29,44.45,38.93,80,5.55,76
Nikolskoye,RU,59.7,30.79,23.0,67,8.95,0
Tshane,BW,-24.02,21.87,58.82,82,5.99,0
Oum Hadjer,TD,13.3,19.7,65.21,50,3.04,0
Colonial Heights,US,37.26,-77.41,44.6,41,3.36,75
Zhanaozen,KZ,43.35,52.85,44.29,95,9.01,68
Belaya Gora,RU,68.54,146.19,-23.04,35,2.86,20
Okhotsk,RU,59.36,143.24,11.03,99,7.85,76
Mareeba,AU,-16.99,145.42,75.2,100,10.29,75
Noumea,NC,-22.28,166.46,77.0,94,10.29,92
Tabou,CI,4.42,-7.36,82.4,96,7.85,8
Otane,NZ,-39.89,176.62,52.7,100,9.86,92
Namibe,AO,-15.19,12.15,74.3,100,4.38,0
Aklavik,CA,68.22,-135.01,19.4,61,6.93,5
Chuy,UY,-33.69,-53.46,64.67,92,5.73,0
Port Augusta,AU,-32.49,137.76,80.6,36,9.17,64
Koutsouras,GR,35.03,25.95,60.17,98,7.29,12
Xicotencatl,MX,23.02,-98.88,69.53,60,5.21,92
Ilulissat,GL,69.22,-51.1,-0.41,84,18.34,44
Virginia Beach,US,36.85,-75.98,44.6,36,4.7,40
Padang,ID,-0.92,100.36,81.19,100,1.19,0
Yarada,IN,17.65,83.27,79.25,100,1.7,0
Oktyabrskoye,RU,56.73,85.44,9.05,64,8.12,56
Hami,CN,42.84,93.51,30.79,71,6.62,0
Arman,RU,59.7,150.17,-0.85,66,3.6,44
Hasaki,JP,35.73,140.83,64.4,100,10.29,75
Zhangye,CN,38.94,100.46,26.74,60,9.31,12
Almazar,UZ,40.32,69.01,50.0,76,4.38,90
Kodiak,US,39.95,-94.76,41.0,41,2.86,1
Saint George,BM,32.38,-64.68,64.4,77,10.29,75
Kuusamo,FI,65.96,29.19,8.6,78,8.05,90
Gubkinskiy,RU,64.43,76.5,-5.08,55,5.73,24
Puerto Narino,CO,-3.77,-70.38,78.8,100,2.08,20
Bethel,US,60.79,-161.76,21.2,92,4.7,20
Husavik,IS,66.04,-17.34,26.6,100,5.82,75
Mitsamiouli,KM,-11.38,43.28,79.84,100,8.79,36
Mehamn,NO,71.03,27.85,-2.88,100,4.54,0
Aripuana,BR,-9.17,-60.63,79.3,91,2.37,36
Camopi,GF,3.17,-52.33,74.66,95,2.3,68
Katsuura,JP,33.93,134.5,42.8,81,11.41,75
Provideniya,RU,64.42,-173.23,15.49,100,20.65,32
Los Llanos de Aridane,ES,28.66,-17.92,68.0,64,1.12,0
Nanortalik,GL,60.14,-45.24,15.58,100,7.52,0
Luba,GQ,3.46,8.55,77.0,88,6.93,20
Lavrentiya,RU,65.58,-170.99,22.73,100,17.69,80
Atherton,AU,-17.27,145.48,75.2,100,10.29,75
Youkounkoun,GN,12.53,-13.12,77.41,55,11.36,0
Hofn,IS,64.25,-15.21,32.36,100,26.13,0
Karasjok,NO,69.47,25.52,1.4,70,11.41,56
Dwarka,IN,28.58,77.04,64.4,77,2.82,0
Linxia,CN,35.6,103.21,10.58,59,2.53,0
Xingyi,CN,24.19,102.82,40.6,81,2.71,44
Lazi,PH,9.13,123.64,82.0,98,16.62,20
Cerro Cama,PA,9.03,-79.91,84.2,74,12.75,20
Batemans Bay,AU,-35.71,150.18,66.47,89,1.74,0
Aljezur,PT,37.31,-8.8,60.04,96,16.4,64
Misratah,LY,32.38,15.09,58.73,97,9.31,48
Naze,JP,28.37,129.48,59.0,51,13.87,75
Mount Gambier,AU,-37.83,140.78,76.69,63,2.86,0
Vila Velha,BR,-3.71,-38.6,82.4,83,5.82,40
Uthal,PK,25.81,66.62,57.83,42,4.05,0
Richards Bay,ZA,-28.77,32.06,67.69,100,16.62,80
Kalianget,ID,-7.35,109.91,70.93,93,3.31,64
Westport,NZ,-41.75,171.6,67.91,57,2.59,0
Klaksvik,FO,62.23,-6.59,37.4,86,8.05,92
Simao,CN,22.76,100.79,55.36,86,3.76,24
Havelock,US,34.88,-76.9,46.4,42,10.29,40
Afsin,TR,38.25,36.91,35.15,100,3.76,92
Raudeberg,NO,61.99,5.14,35.6,100,11.41,92
Hokitika,NZ,-42.72,170.96,68.18,79,8.12,0
Sarakhs,IR,36.54,61.16,55.4,76,4.7,0
Omsukchan,RU,62.53,155.8,-14.67,61,3.49,32
Saint-Louis,SN,16.03,-16.5,71.6,64,9.17,0
Garowe,SO,8.41,48.48,59.68,50,7.4,0
Salinopolis,BR,-0.61,-47.36,79.97,100,7.34,44
Alofi,NU,-19.06,-169.92,86.0,66,14.99,75
Vysokogornyy,RU,50.1,139.13,6.26,75,3.04,80
Borogontsy,RU,62.67,131.17,-15.3,46,4.27,56
Coatesville,US,39.98,-75.82,39.2,52,11.41,40
Zhicheng,CN,35.04,112.59,29.53,79,2.04,0
Saryg-Sep,RU,51.49,95.55,-4.0,69,2.98,0
Kavaratti,IN,10.57,72.64,82.36,100,4.83,0
Yerofey Pavlovich,RU,53.97,121.97,-12.51,55,2.48,0
Huarmey,PE,-10.07,-78.15,70.66,65,3.04,44
Annau,TM,37.89,58.52,53.6,76,2.24,0
Kamaishi,JP,39.28,141.86,50.0,100,9.17,75
Pisco,PE,-13.71,-76.2,73.4,73,17.22,0
Shirokiy,RU,53.87,39.17,19.63,92,10.76,76
Cervo,ES,43.67,-7.41,55.85,86,20.31,12
Chipinge,ZW,-20.19,32.62,69.08,94,4.72,0
Luderitz,NA,-26.65,15.16,64.4,68,17.22,0
Ardesen,TR,41.19,40.99,51.8,100,10.29,75
Manaus,BR,-3.13,-59.98,77.0,88,3.36,40
Sao Joao da Barra,BR,-21.64,-41.05,77.72,100,16.35,92
Carlsbad,US,33.16,-117.35,71.6,42,4.7,1
Buchanan,LR,5.88,-10.05,77.0,83,3.2,20
Burnie,AU,-41.05,145.91,64.54,100,10.8,76
Yerbogachen,RU,61.28,108.01,0.91,70,4.27,44
Talnakh,RU,69.49,88.39,7.7,82,7.9,80
Siderno,IT,38.28,16.3,53.6,76,2.24,40
Ibate,BR,-21.95,-48.0,74.48,74,12.37,0
Yeppoon,AU,-23.13,150.74,78.8,61,18.34,75
Saint-Pierre,PM,46.77,-56.17,34.16,94,25.9,92
San Giorgio del Sannio,IT,41.07,14.85,50.0,100,12.75,90
Belyy Yar,RU,53.6,91.39,3.2,71,2.24,0
Kyabe,TD,9.45,18.94,68.81,48,2.82,0
Sept-Iles,CA,50.2,-66.38,26.6,79,17.22,90
Hearst,CA,49.69,-83.67,21.88,84,6.11,92
Sabha,LY,27.03,14.43,62.96,24,3.98,0
Cabanbanan,PH,10.18,122.9,78.76,75,3.38,0
Niksic,ME,42.77,18.95,46.4,100,1.12,0
Vostok,RU,46.45,135.83,8.06,63,6.89,80
Guerrero Negro,MX,27.97,-114.04,69.98,48,8.75,8
Celestun,MX,20.87,-90.4,74.89,100,23.17,80
Cherskiy,RU,68.75,161.3,-13.9,65,7.23,68
Hualmay,PE,-11.1,-77.61,70.75,70,3.98,8
Kulhudhuffushi,MV,6.62,73.07,82.81,100,5.32,44
Balkanabat,TM,39.51,54.36,40.33,77,1.74,20
Vicente Guerrero,MX,16.93,-96.7,78.8,21,9.17,90
Zeya,RU,53.74,127.27,-8.95,63,2.26,0
Puerto Escondido,MX,15.86,-97.07,82.4,74,5.82,5
Puri,IN,19.8,85.85,69.8,94,4.27,0
Saint-Ambroise,CA,48.56,-71.32,28.4,74,4.7,90
Bundaberg,AU,-24.87,152.35,78.26,100,25.75,76
Kieta,PG,-6.22,155.63,85.28,90,4.5,12
Port Hardy,CA,50.7,-127.42,41.0,93,4.7,90
Paamiut,GL,61.99,-49.67,22.24,100,26.19,0
Xining,CN,36.62,101.77,8.74,63,2.26,0
Gigmoto,PH,13.78,124.39,78.8,100,10.31,76
Grand Gaube,MU,-20.01,57.66,75.2,83,2.24,20
Bilibino,RU,68.06,166.44,-13.45,60,4.99,64
Sao Felix do Xingu,BR,-6.64,-51.99,77.59,87,3.31,44
Agogo,GH,6.8,-1.08,72.1,94,3.2,8
Hovd,MN,48.01,91.64,9.86,58,1.03,0
Boshnyakovo,RU,49.65,142.17,21.47,89,10.09,92
Ati,TD,13.21,18.34,68.86,29,3.87,0
Praia da Vitoria,PT,38.73,-27.07,59.0,93,32.17,40
Goundam,ML,16.42,-3.66,74.89,33,11.43,0
Andenes,NO,69.31,16.12,15.8,72,9.17,0
Edd,ER,13.93,41.69,61.3,70,0.69,0
Cururupu,BR,-1.82,-44.87,78.85,89,5.61,20
Fortuna,US,40.6,-124.16,60.8,87,8.05,90
Taltal,CL,-25.41,-70.49,59.95,75,1.25,0
Nago,JP,26.59,127.98,60.8,54,19.46,75
Arawa,PG,-6.23,155.57,85.28,90,4.5,12
Lapua,FI,62.97,23.01,21.2,73,8.05,90
Diu,IN,20.71,70.98,57.43,81,3.53,0
Cockenzie,GB,55.97,-2.97,35.6,93,12.75,40
Kahului,US,20.89,-156.47,73.4,73,18.34,75
Korhogo,CI,9.46,-5.63,78.8,63,5.84,24
College,US,64.86,-147.8,24.8,62,4.7,20
Grindavik,IS,63.84,-22.43,26.6,53,6.93,0
Binzhou,CN,37.38,117.96,24.58,59,3.38,0
Khatanga,RU,71.98,102.47,-4.72,81,6.89,76
Ambilobe,MG,-13.19,49.05,73.81,100,3.98,100
Salto,UY,-31.39,-57.96,71.29,74,2.19,12
Tazovskiy,RU,67.47,78.7,-4.41,67,6.22,12
Faanui,PF,-16.48,-151.75,82.22,100,13.15,64
Yelan,RU,50.95,43.74,21.92,92,13.94,92
Zykovo,RU,55.24,40.35,6.71,79,10.31,0
San Jose,PH,15.79,120.99,70.66,98,2.82,68
Segbwema,SL,8.0,-10.95,75.47,83,8.63,24
Mapiripan,CO,2.89,-72.13,73.18,98,3.71,56
California City,US,35.13,-117.99,73.4,10,19.46,40
Forest Acres,US,34.02,-80.99,50.0,45,5.82,40
Severo-Kurilsk,RU,50.68,156.12,29.8,98,15.28,92
Porbandar,IN,21.64,69.61,67.06,80,6.51,8
Den Helder,NL,52.96,4.76,42.8,93,8.05,75
Uri,IN,34.09,74.03,39.34,95,1.74,88
Domna,RU,51.9,113.16,5.0,77,6.71,40
Ekimchan,RU,53.07,132.94,-10.17,64,2.08,0
Along,IN,28.17,94.8,51.58,84,1.97,44
Baykit,RU,61.68,96.39,0.32,60,5.61,44
Cidreira,BR,-30.17,-50.22,68.45,80,7.11,0
Ibicui,BR,-14.84,-39.99,73.13,96,3.31,68
Shizunai,JP,42.33,142.37,48.65,85,25.46,92
General Roca,AR,-39.03,-67.58,78.8,36,6.93,0
Abu Dhabi,AE,24.47,54.37,69.8,68,2.24,0
Gizo,SB,-8.1,156.84,83.66,100,8.57,48
Fukue,JP,35.03,136.69,50.0,76,32.21,75
Avrameni,RO,48.02,26.95,37.4,86,4.7,0
Mgandu,TZ,-5.96,34.11,58.96,94,1.74,48
Torrington,US,42.06,-104.18,60.8,15,11.41,1
Shalinskoye,RU,55.72,93.76,3.25,72,5.1,8
San Policarpo,PH,12.18,125.51,78.35,100,9.57,88
Wanxian,CN,30.8,108.39,34.52,91,2.26,8
Vallenar,CL,-28.58,-70.76,61.3,83,1.86,0
Policoro,IT,40.21,16.68,50.0,93,6.93,40
Nikki,BJ,9.94,3.21,74.3,65,3.31,0
Bandarbeyla,SO,9.49,50.81,77.23,100,11.43,0
Gulfport,US,30.37,-89.09,59.0,33,4.7,1
Pevek,RU,69.7,170.27,-5.04,96,24.23,44
Drovyanaya,RU,51.58,113.05,5.0,77,6.71,40
Portland,AU,-33.35,149.98,62.15,82,4.54,64
Kavieng,PG,-2.57,150.8,78.31,100,3.09,88
Jvari,GE,42.72,42.05,51.8,93,2.24,90
Sao Filipe,CV,14.9,-24.5,71.96,93,11.43,0
Sergeyevka,KZ,53.88,67.42,10.63,85,7.0,88
Tiarei,PF,-17.53,-149.33,87.8,66,12.75,20
Meulaboh,ID,4.14,96.13,77.68,100,2.53,76
Yakima,US,46.6,-120.51,57.2,47,13.87,20
Ponta do Sol,PT,32.67,-17.1,64.4,93,21.92,40
Zhaotong,CN,27.34,103.71,25.48,82,2.19,0
Tecoanapa,MX,16.99,-99.26,80.6,78,9.17,5
Shumskiy,RU,54.83,99.13,14.59,87,1.97,68
Bend,US,44.06,-121.32,57.2,59,19.46,1
Kropotkin,RU,45.43,40.58,43.97,98,3.87,92
La Florida,HN,14.11,-87.17,78.8,54,25.28,1
Cascais,PT,38.7,-9.42,60.8,93,17.22,75
Roebourne,AU,-20.77,117.15,80.38,58,8.3,0
Russkaya Polyana,RU,53.78,73.88,7.52,84,3.2,76
Guarare,PA,7.82,-80.28,84.02,63,16.58,0
Gusau,NG,12.17,6.66,69.62,53,2.86,0
Benguela,AO,-12.58,13.4,72.95,100,5.77,0
Cherepanovo,RU,54.23,83.37,4.1,80,5.73,44
Nakamura,JP,35.17,136.87,50.0,76,32.21,75
Sao Gabriel da Cachoeira,BR,-0.13,-67.09,74.8,94,2.26,44
Jinzhou,CN,41.11,121.12,10.36,74,6.51,0
Kiama,AU,-34.67,150.86,71.6,60,6.93,75
Oktyabrskiy,RU,55.61,37.97,17.6,65,8.95,0
Puerto del Rosario,ES,28.5,-13.86,64.4,82,2.24,0
Tlazazalca,MX,19.97,-102.06,75.2,38,6.93,5
Forbes,AU,-33.38,148.01,67.91,87,8.34,0
Storforshei,NO,66.4,14.52,21.2,57,11.41,40
Leningradskiy,RU,69.38,178.42,-4.68,94,24.85,36
Varhaug,NO,58.61,5.65,32.0,100,2.24,90
Baoro,CF,5.69,15.95,71.78,88,0.58,44
Nome,US,30.04,-94.42,62.6,33,6.93,1
Sisimiut,GL,66.94,-53.67,-12.78,39,2.04,24
Feijo,BR,-8.16,-70.35,79.7,84,3.87,12
Maniitsoq,GL,65.42,-52.9,-2.97,87,6.06,0
Margate,ZA,-30.86,30.37,68.45,94,19.3,56
Fushe-Arrez,AL,42.06,20.02,43.52,100,1.97,88
Kirensk,RU,57.78,108.12,5.36,73,2.37,68
Dalvik,IS,65.97,-18.53,26.6,100,5.82,75
Miri,MY,4.41,114.01,77.0,94,4.7,75
Gazli,UZ,40.13,63.45,47.21,88,4.61,0
Cam Ranh,VN,11.92,109.15,74.53,96,15.17,56
Srandakan,ID,-7.94,110.25,74.12,91,3.53,92
Kaitangata,NZ,-46.28,169.85,53.56,80,10.02,80
Chumikan,RU,54.72,135.31,-4.68,68,3.38,0
Mogadishu,SO,2.04,45.34,81.41,98,23.44,0
Letpadan,MM,17.78,95.75,68.27,90,4.09,0
Carnot,CF,4.94,15.87,70.43,86,4.99,56
Bagdarin,RU,54.44,113.59,-3.96,78,2.53,56
Daru,PG,-9.07,143.21,80.33,100,12.59,24
Svetlaya,RU,46.54,138.33,26.33,100,25.86,92
Tuatapere,NZ,-46.13,167.69,52.7,100,11.36,80
Marienburg,SR,5.88,-55.04,80.6,78,4.7,0
Debre Tabor,ET,11.86,38.01,50.23,52,2.71,0
Iqaluit,CA,63.75,-68.52,1.4,84,3.36,90
Ahipara,NZ,-35.17,173.16,73.18,80,14.67,20
Ushibuka,JP,32.19,130.02,47.66,100,17.58,20
Williamsburg,US,37.27,-76.71,44.6,39,8.3,90
Tomohon,ID,1.33,124.84,77.0,94,2.24,20
Fortuna Foothills,US,32.66,-114.41,82.4,5,4.7,1
Suoyarvi,RU,62.08,32.35,13.01,83,5.88,44
